BBBO	Ryan McMahon	COL	2B,3B,INF	1	684.4	0
DBBO	Jonathan India	CIN	2B,INF	3	683.5	0
BBBY	Anthony Volpe	NYY	SS,INF	2	680.5	0
BBBO	Matt Chapman	(N/A)	3B,INF	1	678.9	0
DBBO	Lourdes Gurriel Jr.	ARI	OF	3	675.1	0
FFBY	Ha-seong Kim	SD	2B,3B,SS,INF	5	674.9	0
FFBY	Bryson Stott	PHI	2B,INF	5	672.8	0
DBBY	Cal Raleigh	SEA	C	4	666.9	0
BBBO	Eugenio Suarez	ARI	3B,INF	1	665.5	0
FFBO	Alec Bohm	PHI	1B,3B,INF	4	665.4	0
FFBY	Jake Burger	MIA	3B,INF	5	664.4	0
DBBY	Andrew Vaughn	CHW	1B,INF	4	659.9	0
BBBY	Andres Gimenez	CLE	2B,INF	2	658.0	0
BBBY	MJ Melendez	KC	OF,UT	2	657.4	0
FFBO	Chas McCormick	HOU	OF	4	657.0	0
BBBO	Cedric Mullins	BAL	OF	1	653.8	0
FFBO	Justin Turner	TOR	1B,INF	4	653.6	0
FFBY	Yainer Diaz	HOU	C	5	653.5	0
BBBY	Gabriel Moreno	ARI	C	2	652.2	0
BBBY	Jack Suwinski	PIT	OF	2	651.0	0
FFBO	Cody Bellinger	(N/A)	1B,INF,OF	4	650.3	0
DBBO	Joey Meneses	WSH	UT	3	648.7	0
SSBY	Isaac Paredes	TB	1B,3B,INF	8	648.7	0
DBBO	Ty France	SEA	1B,INF	3	646.4	0
DBBO	Hunter Renfroe	KC	OF	3	643.7	0
BBBY	Daulton Varsho	TOR	OF	2	643.4	0
SSBY	CJ Abrams	WSH	SS,INF	8	642.2	0
BBBO	Tyler O'Neill	BOS	OF	1	638.2	0
BBBY	Lars Nootbaar	STL	OF	2	636.5	0
FFBY	Kerry Carpenter	DET	OF	5	634.5	0
BBBY	Ezequiel Tovar	COL	SS,INF	2	632.4	0
FFBO	J.T. Realmuto	PHI	C	4	631.3	0
BBBO	Andrew Benintendi	CHW	OF	1	630.0	0
DBBO	Eloy Jimenez	CHW	UT	3	629.6	0
BBBO	Jake Cronenworth	SD	1B,2B,INF	1	627.9	0
FFBO	Sean Murphy	ATL	C	4	623.4	0
FFBO	Willson Contreras	STL	C	4	617.7	0
DBBO	Austin Hays	BAL	OF	3	616.6	0
FFBY	Oneil Cruz	PIT	SS,INF	5	616.3	0
SSBY	Nolan Gorman	STL	2B,INF	8	615.7	0
SSBY	Jordan Walker	STL	OF	8	615.2	0
BBBO	Jose Abreu	HOU	1B,INF	1	614.5	0
DBBO	Brendan Rodgers	COL	2B,INF	3	611.6	0
BBBY	Jazz Chisholm Jr.	MIA	OF	2	610.9	0
BBBY	Jeremy Pena	HOU	SS,INF	2	610.4	0
BBBO	Bryan De La Cruz	MIA	OF	1	610.2	0
DBBO	Max Kepler	MIN	OF	3	609.8	0
BBBO	LaMonte Wade Jr.	SF	1B,INF,OF	1	605.2	0
FFBO	Brent Rooker	OAK	OF	4	599.8	0
BBBO	Trevor Story	BOS	SS,INF	1	597.2	0
BBBO	DJ LeMahieu	NYY	1B,3B,INF	1	594.7	0
BBBY	Tommy Edman	STL	2B,SS,INF,OF	2	590.2	0
DBBY	Keibert Ruiz	WSH	C	4	590.2	0
DBBY	Logan O'Hoppe	LAA	C	4	589.7	0
DBBO	Taylor Ward	LAA	OF	3	589.5	0
DBBO	J.D. Davis	SF	3B,INF	3	588.9	0
BBBO	Jeff McNeil	NYM	2B,INF,OF	1	588.2	0
BBBO	Thairo Estrada	SF	2B,SS,INF	1	587.1	0
DBBO	Wilmer Flores	SF	1B,3B,INF	3	586.0	0
BBBY	Canaan Smith-Njigba	SEA	OF	2	584.6	0
BBBO	Mark Canha	DET	OF	1	583.3	0
FFBO	TJ Friedl	CIN	OF	4	582.5	0
BBBO	Seth Brown	OAK	OF,UT	1	582.2	0
BBBY	Zach Neto	LAA	SS,INF	2	580.1	0
DBBO	Tommy Pham	(N/A)	OF	3	577.0	0
FFBO	Brandon Drury	LAA	1B,2B,INF	4	576.6	0
BBBO	Ryan Noda	OAK	1B,INF	1	576.2	0
BBBY	Bo Naylor	CLE	C	2	574.8	0
DBBO	Carlos Santana	MIN	1B,INF	3	574.5	0
FFBY	Christopher Morel	CHC	OF,UT	5	573.5	0
DBBY	Francisco Alvarez	NYM	C	4	572.5	0
BBBY	Nolan Schanuel	LAA	1B,INF	2	570.1	0
BBBO	Mike Yastrzemski	SF	OF	1	570.0	0
DBBO	Matt Vierling	DET	3B,INF,OF	3	569.3	0
DBBY	Gavin Lux	LAD	2B,INF	4	568.8	0
BBBO	Amed Rosario	(N/A)	2B,SS,INF	1	568.0	0
DBBO	Byron Buxton	MIN	UT	3	563.6	0
BBBO	Jorge Polanco	SEA	2B,INF	1	561.9	0
DBBY	Brandon Marsh	PHI	OF	4	561.2	0
DBBO	Mitch Garver	SEA	C	3	558.9	0
BBBY	Elehuris Montero	COL	1B,INF	2	558.3	0
DBBY	Leody Taveras	TEX	OF	4	557.7	0
BBBY	Jesus Sanchez	MIA	OF	2	552.2	0
BBBO	Mitch Haniger	SEA	OF	1	549.7	0
BBBY	Yoan Moncada	CHW	3B,INF	2	546.2	0
FFBO	Salvador Perez	KC	C,1B,INF	4	545.0	0
DBBY	Davis Schneider	TOR	2B,INF	4	544.2	0
DBBY	Luis Rengifo	LAA	2B,3B,SS,INF,OF	4	543.3	0
BBBY	Tyler Stephenson	CIN	C	2	542.8	0
DBBO	Jonah Heim	TEX	C	3	542.6	0
DBBY	Alex Kirilloff	MIN	1B,INF,OF	4	537.5	0
BBBO	Anthony Rizzo	NYY	1B,INF	1	537.1	0
APY	Spencer Strider	ATL	SP	25	1193.8	0
APO	Gerrit Cole	NYY	SP	15	1161.3	0
